PRESENCE,LONG,LAT
1,477868.851264658,4435269.53992436
1,477850.394008106,4435255.02371902
1,475796.25242747,4435593.23159799
1,473805.036298005,4434472.10105186
1,473935.747830172,4434673.42308508
1,473942.053512125,4434716.18349083
1,483105.818653542,4434799.14261903
1,478471.089229703,4431465.7060797
1,478442.710909872,4431462.12210295
1,478463.917852968,4431440.97147013
1,478379.521373063,4431448.42505382
1,478611.727895665,4430656.88434673
1,478610.499465391,4430680.78893584
1,473924.270375852,4434637.72885245
1,474213.396845688,4433458.55019516
1,474363.340837344,4433520.03801908
1,479360.229199745,4432923.22165531
1,479363.99093796,4432988.27759856
1,475877.221112822,4440622.35876444
1,475869.099312573,4440609.28448908
1,475885.659054624,4440599.72773909
1,475908.174970191,4440570.97270459
1,478578.955216179,4435857.94086172
1,478585.469515876,4435834.66173491
1,478574.892622357,4435789.9262396
1,477441.570707842,4433720.76636051
1,477440.932336435,4433662.71919849
1,477499.819534493,4433530.09478197
1,477389.601427484,4433486.20027707
1,474628.990813098,4433971.15024905
1,474630.007614934,4433940.72457232
1,474396.968846775,4433565.31766425
1,474422.08479708,4433539.15095115
1,474441.366368383,4433592.86338531
1,477437.964462643,4430285.33482437
1,477478.774392465,4430367.01775964
1,477513.339835345,4430321.98176289
1,477570.864805976,4430339.83216496
1,474595.68047004,4434948.17526879
1,474631.986100117,4434834.32486089
1,474649.443162662,4434883.02753538
1,474618.988178548,4434924.01368223
1,476828.77114574,4434745.37847237
1,476801.27912229,4434743.52916058
1,476801.644926592,4434768.70983185
1,477428.754498064,4435038.04589905
1,477440.34325499,4435066.75039237
1,478371.81527373,4438053.24765695
1,473718.178754241,4434680.63262233
1,473626.628536341,4434682.99564418
1,473815.130164937,4434738.96550454
1,477425.658762074,4435062.09186358
1,481488.577724163,4434030.82045088
1,481440.066925949,4434060.12823842
1,481387.943667635,4433982.47112763
1,481570.378032683,4433895.18935514
1,481549.857680374,4433915.56915709
1,481584.016022811,4433922.88752311
1,477275.420378188,4432181.24998051
1,477317.102137586,4432161.03871947
1,477282.097295794,4432042.81272813
1,475751.494564062,4435485.3597763
1,475762.818519539,4435493.35586751
1,481018.45630754,4431729.599701
1,481006.880582198,4432476.03282277
1,483001.938939244,4433989.27141803
1,482985.720140565,4433932.99740152
1,482944.330773145,4433965.7794145
1,477192.234372253,4434535.67733782
1,477147.274682764,4434525.32007697
1,478501.882610708,4431195.779174
1,478473.588624133,4431208.95352267
1,475181.269727002,4437343.70877193
1,475275.719567766,4437294.79724726
1,475142.477828116,4437193.03878786
1,475207.130992925,4437160.99330617
1,475787.885073339,4437092.96693276
1,478664.499375238,4431013.90701039
1,478624.753504868,4431595.33966863
1,477624.034953912,4431106.22442181
1,477775.40768978,4431267.01403168
1,477759.666049652,4430806.00885653
1,477411.101161117,4431327.73178646
1,477331.268557614,4430851.82827333
1,478570.079415496,4431033.98153766
1,478142.806326324,4430937.28289116
1,478432.340064381,4431094.69929243
1,474499.178838266,4432955.58603606
1,474662.217253871,4432829.65291504
1,473908.586232772,4434555.89241544
1,473942.599419476,4434508.38639434
1,483137.936178582,4434830.55198949
1,479679.272962021,4433069.73710096
1,478507.926276113,4430873.63775283
1,476083.288328524,4440468.28112559
1,475794.860967357,4441145.16720989
1,476398.505946458,4440092.56937947
1,476271.46827727,4440239.48369078
1,477054.00303543,4439544.23331757
1,475281.525079618,4440400.6573323
1,474756.090366243,4439150.58938345
1,476576.099422771,4438320.9556255
1,475487.205115446,4438304.10368979
1,476608.939092357,4439385.22018063
1,475658.965229399,4439281.9480618
1,481294.209320262,4436476.96496815
1,481706.43359375,4436588.23095392
1,482060.756344546,4436938.66479647
1,474460.965440884,4436899.77571407
1,478128.63801254,4438298.05427697
