presence,id,left,top,right,bottom,row_index,col_index,geom
1,3385,473609.9838,4434701.1748,473659.9838,4434651.1748,156,12,"c(473626.628536341, 4434682.99564418)"
1,3923,473709.9838,4434701.1748,473759.9838,4434651.1748,156,14,"c(473718.178754241, 4434680.63262233)"
1,4196,473759.9838,4434501.1748,473809.9838,4434451.1748,160,15,"c(473805.036298005, 4434472.10105186)"
1,4460,473809.9838,4434751.1748,473859.9838,4434701.1748,155,16,"c(473815.130164937, 4434738.96550454)"
1,4998,473909.9838,4434751.1748,473959.9838,4434701.1748,155,18,"c(473942.053512125, 4434716.18349083)"
1,4999,473909.9838,4434701.1748,473959.9838,4434651.1748,156,18,"c(473935.747830172, 4434673.42308508)"
1,5000,473909.9838,4434651.1748,473959.9838,4434601.1748,157,18,"c(473936.22267041, 4434643.37299155)"
1,6637,474209.9838,4433501.1748,474259.9838,4433451.1748,180,24,"c(474213.396845688, 4433458.55019516)"
1,7443,474359.9838,4433551.1748,474409.9838,4433501.1748,179,27,"c(474363.340837344, 4433520.03801908)"
1,7711,474409.9838,4433601.1748,474459.9838,4433551.1748,178,28,"c(474441.366368383, 4433592.86338531)"
1,7712,474409.9838,4433551.1748,474459.9838,4433501.1748,179,28,"c(474422.08479708, 4433539.15095115)"
1,8491,474559.9838,4434951.1748,474609.9838,4434901.1748,151,31,"c(474595.68047004, 4434948.17526879)"
1,8760,474609.9838,4434951.1748,474659.9838,4434901.1748,151,32,"c(474618.988178548, 4434924.01368223)"
1,8761,474609.9838,4434901.1748,474659.9838,4434851.1748,152,32,"c(474649.443162662, 4434883.02753538)"
1,8762,474609.9838,4434851.1748,474659.9838,4434801.1748,153,32,"c(474631.986100117, 4434834.32486089)"
1,8779,474609.9838,4434001.1748,474659.9838,4433951.1748,170,32,"c(474628.990813098, 4433971.15024905)"
1,8780,474609.9838,4433951.1748,474659.9838,4433901.1748,171,32,"c(474630.007614934, 4433940.72457232)"
1,14667,475709.9838,4435501.1748,475759.9838,4435451.1748,140,54,"c(475751.494564062, 4435485.3597763)"
1,14934,475759.9838,4435601.1748,475809.9838,4435551.1748,138,55,"c(475796.25242747, 4435593.23159799)"
1,14936,475759.9838,4435501.1748,475809.9838,4435451.1748,140,55,"c(475762.818519539, 4435493.35586751)"
1,20330,476759.9838,4434801.1748,476809.9838,4434751.1748,154,75,"c(476802.196250576, 4434751.46706402)"
1,20331,476759.9838,4434751.1748,476809.9838,4434701.1748,155,75,"c(476801.27912229, 4434743.52916058)"
1,20600,476809.9838,4434751.1748,476859.9838,4434701.1748,155,76,"c(476826.326212029, 4434749.15843075)"
1,22218,477109.9838,4434551.1748,477159.9838,4434501.1748,159,82,"c(477144.152422832, 4434539.7274055)"
1,23072,477259.9838,4432201.1748,477309.9838,4432151.1748,206,85,"c(477275.420378188, 4432181.24998051)"
1,23075,477259.9838,4432051.1748,477309.9838,4432001.1748,209,85,"c(477282.097295794, 4432042.81272813)"
1,23341,477309.9838,4432201.1748,477359.9838,4432151.1748,206,86,"c(477317.102137586, 4432161.03871947)"
1,23584,477359.9838,4433501.1748,477409.9838,4433451.1748,180,87,"c(477389.601427484, 4433486.20027707)"
1,23821,477409.9838,4435101.1748,477459.9838,4435051.1748,148,88,"c(477440.34325499, 4435066.75039237)"
1,23822,477409.9838,4435051.1748,477459.9838,4435001.1748,149,88,"c(477428.754498064, 4435038.04589905)"
1,23849,477409.9838,4433701.1748,477459.9838,4433651.1748,176,88,"c(477425.787824712, 4433691.04498453)"
1,23917,477409.9838,4430301.1748,477459.9838,4430251.1748,244,88,"c(477437.964462643, 4430285.33482437)"
1,24121,477459.9838,4433551.1748,477509.9838,4433501.1748,179,89,"c(477499.819534493, 4433530.09478197)"
1,24184,477459.9838,4430401.1748,477509.9838,4430351.1748,242,89,"c(477478.774392465, 4430367.01775964)"
1,24454,477509.9838,4430351.1748,477559.9838,4430301.1748,243,90,"c(477513.339835345, 4430321.98176289)"
1,24723,477559.9838,4430351.1748,477609.9838,4430301.1748,243,91,"c(477570.864805976, 4430339.83216496)"
1,25969,477809.9838,4435301.1748,477859.9838,4435251.1748,144,96,"c(477850.394008106, 4435255.02371902)"
1,26238,477859.9838,4435301.1748,477909.9838,4435251.1748,144,97,"c(477868.851264658, 4435269.53992436)"
1,28872,478359.9838,4438101.1748,478409.9838,4438051.1748,88,107,"c(478371.81527373, 4438053.24765695)"
1,29005,478359.9838,4431451.1748,478409.9838,4431401.1748,221,107,"c(478379.521373063, 4431448.42505382)"
1,29542,478459.9838,4431501.1748,478509.9838,4431451.1748,220,109,"c(478471.089229703, 4431465.7060797)"
1,29543,478459.9838,4431451.1748,478509.9838,4431401.1748,221,109,"c(478463.917852968, 4431440.97147013)"
1,29547,478459.9838,4431251.1748,478509.9838,4431201.1748,225,109,"c(478473.588624133, 4431208.95352267)"
1,29548,478459.9838,4431201.1748,478509.9838,4431151.1748,226,109,"c(478492.427775517, 4431197.31575478)"
1,29992,478559.9838,4435901.1748,478609.9838,4435851.1748,132,111,"c(478578.955216179, 4435857.94086172)"
1,29993,478559.9838,4435851.1748,478609.9838,4435801.1748,133,111,"c(478585.469515876, 4435834.66173491)"
1,29994,478559.9838,4435801.1748,478609.9838,4435751.1748,134,111,"c(478574.892622357, 4435789.9262396)"
1,30365,478609.9838,4430701.1748,478659.9838,4430651.1748,236,112,"c(478611.727895665, 4430656.88434673)"
1,34354,479359.9838,4433001.1748,479409.9838,4432951.1748,190,127,"c(479363.99093796, 4432988.27759856)"
1,34355,479359.9838,4432951.1748,479409.9838,4432901.1748,191,127,"c(479360.229199745, 4432923.22165531)"
1,42972,480959.9838,4432501.1748,481009.9838,4432451.1748,200,159,"c(481006.880582198, 4432476.03282277)"
1,43256,481009.9838,4431751.1748,481059.9838,4431701.1748,215,160,"c(481018.45630754, 4431729.599701)"
1,45094,481359.9838,4434001.1748,481409.9838,4433951.1748,170,167,"c(481376.517915445, 4433998.86819858)"
1,45361,481409.9838,4434101.1748,481459.9838,4434051.1748,168,168,"c(481440.066925949, 4434060.12823842)"
1,45631,481459.9838,4434051.1748,481509.9838,4434001.1748,169,169,"c(481482.53785365, 4434047.07547029)"
1,46171,481559.9838,4433951.1748,481609.9838,4433901.1748,171,171,"c(481584.016022811, 4433922.88752311)"
1,46172,481559.9838,4433901.1748,481609.9838,4433851.1748,172,171,"c(481570.308879399, 4433897.9475614)"
1,53433,482909.9838,4434001.1748,482959.9838,4433951.1748,170,198,"c(482944.330773145, 4433965.7794145)"
1,53702,482959.9838,4434001.1748,483009.9838,4433951.1748,170,199,"c(483001.938939244, 4433989.27141803)"
1,54224,483059.9838,4434801.1748,483109.9838,4434751.1748,154,201,"c(483105.818653542, 4434799.14261903)"
